"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","2.451","2.345","2.577","2.307","3.05K","5.92%"
"02/23/2023","2.314","2.161","2.377","2.095","57.09K","6.44%"
"02/22/2023","2.174","2.066","2.302","1.967","57.85K","-0.14%"
"02/21/2023","2.177","2.306","2.373","2.162","175.52K","-6.33%"
"02/20/2023","2.324","2.304","2.373","2.271","","0.82%"
"02/19/2023","2.305","2.303","2.306","2.284","","-2.00%"
"02/17/2023","2.352","2.485","2.521","2.304","132.58K","-5.35%"
"02/16/2023","2.485","2.554","2.635","2.455","101.08K","-2.74%"
"02/15/2023","2.555","2.686","2.693","2.531","106.90K","-3.66%"
"02/14/2023","2.652","2.522","2.700","2.518","120.08K","6.12%"
"02/13/2023","2.499","2.663","2.689","2.473","144.73K","-4.14%"
"02/10/2023","2.607","2.513","2.670","2.475","135.22K","4.61%"
"02/09/2023","2.492","2.497","2.578","2.441","112.91K","0.61%"
"02/08/2023","2.477","2.667","2.734","2.450","93.35K","-7.02%"
"02/07/2023","2.664","2.569","2.690","2.500","119.36K","5.09%"
"02/06/2023","2.535","2.495","2.570","2.447","64.96K","2.22%"
"02/03/2023","2.480","2.525","2.585","2.416","63.36K","-1.67%"
"02/02/2023","2.522","2.579","2.652","2.502","70.79K","-0.55%"
"02/01/2023","2.536","2.789","2.836","2.532","88.09K","-7.48%"
"01/31/2023","2.741","2.738","2.809","2.668","80.03K","0.37%"
"01/30/2023","2.731","2.750","2.807","2.661","61.80K","-4.14%"
"01/27/2023","2.849","2.853","2.908","2.747","128.69K","0.04%"
"01/26/2023","2.848","2.873","2.891","2.680","222.21K","-2.30%"
"01/25/2023","2.915","3.065","3.078","2.860","152.92K","-4.65%"
"01/24/2023","3.057","3.228","3.300","3.031","133.73K","-5.12%"
"01/23/2023","3.222","3.216","3.243","2.992","139.30K","1.51%"
"01/20/2023","3.174","3.203","3.389","3.091","106.74K","-3.08%"
"01/19/2023","3.275","3.293","3.396","3.186","99.67K","-1.09%"
"01/18/2023","3.311","3.628","3.644","3.274","119.85K","-7.67%"
"01/17/2023","3.586","3.557","3.789","3.521","143.31K","-2.42%"
"01/16/2023","3.675","3.601","3.696","3.524","","2.05%"
"01/15/2023","3.601","3.591","3.615","3.554","","5.32%"
"01/13/2023","3.419","3.677","3.760","3.384","112.10K","-7.47%"
"01/12/2023","3.695","3.694","3.946","3.607","123.74K","0.65%"
"01/11/2023","3.671","3.575","3.777","3.422","133.20K","0.88%"
"01/10/2023","3.639","3.911","3.911","3.546","112.23K","-6.93%"
"01/09/2023","3.910","3.810","4.128","3.781","130.28K","5.39%"
"01/06/2023","3.710","3.764","3.839","3.520","105.05K","-0.27%"
"01/05/2023","3.720","4.155","4.175","3.651","116.68K","-10.83%"
"01/04/2023","4.172","4.008","4.219","3.900","99.76K","4.61%"
"01/03/2023","3.988","4.393","4.394","3.894","116.84K","-3.74%"
"01/02/2023","4.143","4.222","4.222","4.072","","-7.42%"
"12/30/2022","4.475","4.558","4.615","4.378","62.28K","-1.84%"
"12/29/2022","4.559","4.767","4.790","4.422","78.44K","-3.19%"
"12/28/2022","4.709","5.183","5.183","4.588","1.72K","-10.85%"
"12/27/2022","5.282","5.283","5.367","5.081","41.15K","2.68%"
"12/26/2022","5.144","5.179","5.188","5.037","","3.29%"
"12/23/2022","4.980","5.014","5.139","4.779","87.38K","1.06%"
"12/22/2022","4.928","5.356","5.526","4.905","82.27K","-5.92%"
"12/21/2022","5.238","5.232","5.481","5.175","55.52K","0.42%"
"12/20/2022","5.216","5.678","5.765","5.167","77.84K","-8.65%"
"12/19/2022","5.710","5.935","6.085","5.634","65.66K","-9.41%"
"12/16/2022","6.303","6.539","6.546","5.960","48.45K","-4.34%"
