"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","51.013","50.900","52.950","50.580","45.18K","0.46%"
"02/23/2023","50.780","49.740","51.500","49.280","42.75K","0.42%"
"02/22/2023","50.568","49.625","51.000","49.000","44.17K","4.17%"
"02/21/2023","48.542","49.900","50.250","47.700","46.16K","-2.67%"
"02/20/2023","49.874","50.555","51.850","48.785","40.12K","1.69%"
"02/17/2023","49.047","51.555","51.555","48.100","51.89K","-5.70%"
"02/16/2023","52.011","54.000","54.600","51.500","44.55K","-4.94%"
"02/15/2023","54.716","52.900","55.100","52.500","38.09K","4.45%"
"02/14/2023","52.386","52.190","53.695","51.500","50.16K","1.31%"
"02/13/2023","51.707","53.100","53.100","51.360","38.44K","-4.15%"
"02/10/2023","53.947","53.450","54.920","52.615","43.18K","2.30%"
"02/09/2023","52.734","54.000","55.450","52.510","39.60K","-1.78%"
"02/08/2023","53.687","54.000","56.100","52.810","49.08K","-3.10%"
"02/07/2023","55.403","57.755","58.730","54.350","48.21K","-4.66%"
"02/06/2023","58.109","57.000","58.650","56.050","39.36K","0.38%"
"02/03/2023","57.889","56.350","59.750","55.550","39.35K","1.49%"
"02/02/2023","57.040","57.500","59.885","55.505","44.95K","-4.18%"
"02/01/2023","59.527","60.755","60.800","54.995","44.52K","3.79%"
"01/31/2023","57.352","57.275","61.270","56.250","53.40K","3.98%"
"01/30/2023","55.156","55.500","58.500","53.500","27.50K","-0.49%"
"01/27/2023","55.425","52.355","56.720","52.105","52.11K","1.11%"
"01/26/2023","54.815","57.760","59.700","53.785","54.40K","-3.26%"
"01/25/2023","56.660","58.000","58.200","54.725","48.80K","-2.76%"
"01/24/2023","58.269","60.335","61.350","57.700","44.91K","-11.71%"
"01/23/2023","65.999","68.000","69.000","61.330","48.26K","-1.34%"
"01/20/2023","66.898","60.350","68.000","58.000","49.29K","10.18%"
"01/19/2023","60.717","64.000","65.565","58.000","48.25K","-1.61%"
"01/18/2023","61.709","60.000","63.800","56.390","54.97K","2.74%"
"01/17/2023","60.061","57.000","60.595","51.405","48.29K","8.31%"
"01/16/2023","55.454","65.000","65.250","54.400","38.29K","-14.44%"
"01/13/2023","64.812","69.250","70.250","62.500","50.10K","-2.99%"
"01/12/2023","66.809","66.500","70.610","65.105","42.69K","2.24%"
"01/11/2023","65.346","72.000","73.000","64.300","40.24K","-6.74%"
"01/10/2023","70.071","72.000","76.900","68.250","44.00K","-5.69%"
"01/09/2023","74.302","69.990","76.200","67.820","36.37K","6.86%"
"01/06/2023","69.534","69.000","78.075","67.495","49.01K","-3.99%"
"01/05/2023","72.422","63.130","73.515","63.130","47.12K","11.38%"
"01/04/2023","65.022","70.000","72.000","64.000","42.89K","-10.08%"
"01/03/2023","72.314","79.000","79.000","70.730","39.75K","-6.11%"
"01/02/2023","77.017","70.300","81.150","70.300","6.41K","0.92%"
"12/30/2022","76.315","84.100","84.100","71.500","36.11K","-8.96%"
"12/29/2022","83.830","81.400","86.200","80.125","19.90K","3.05%"
"12/28/2022","81.351","80.000","84.635","76.180","32.53K","1.63%"
"12/27/2022","80.043","80.000","84.245","76.850","11.42K","-3.54%"
"12/23/2022","82.977","88.000","88.600","81.000","45.33K","-9.75%"
"12/22/2022","91.938","95.750","95.995","90.420","38.88K","-5.95%"
"12/21/2022","97.752","103.000","103.000","96.160","38.97K","-7.51%"
"12/20/2022","105.688","105.000","115.740","100.200","45.14K","-2.63%"
"12/19/2022","108.543","115.000","117.000","106.290","38.36K","-5.98%"
"12/16/2022","115.451","132.500","132.500","114.250","49.46K","-14.33%"
"12/15/2022","134.767","130.000","136.200","130.000","39.94K","2.48%"
"12/14/2022","131.511","133.000","135.500","126.550","42.65K","-4.38%"
"12/13/2022","137.529","136.415","141.900","134.000","32.22K","0.69%"
