"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","87.47","86.46","87.64","86.45","11.33M","0.63%"
"12/29/2022","86.92","85.66","87.31","85.62","13.44M","1.05%"
"12/28/2022","86.02","87.87","87.87","85.75","15.91M","-2.24%"
"12/27/2022","87.99","87.44","88.36","87.12","16.35M","1.07%"
"12/23/2022","87.06","85.49","87.08","85.05","14.81M","3.19%"
"12/22/2022","84.37","86.45","86.50","82.68","18.66M","-2.30%"
"12/21/2022","86.36","86.48","86.75","85.21","17.02M","1.90%"
"12/20/2022","84.75","83.75","85.29","83.43","14.27M","1.51%"
"12/19/2022","83.49","84.38","84.65","82.88","18.40M","-1.03%"
"12/16/2022","84.36","83.80","84.76","83.21","29.55M","-1.23%"
"12/15/2022","85.41","85.18","85.61","83.96","20.15M","-0.61%"
"12/14/2022","85.93","87.05","87.36","85.16","26.33M","-0.61%"
"12/13/2022","86.46","86.50","87.18","85.78","27.20M","1.90%"
"12/12/2022","84.85","83.15","85.05","82.82","20.94M","2.62%"
"12/09/2022","82.68","84.47","85.40","82.65","24.05M","-2.43%"
"12/08/2022","84.74","87.03","87.22","84.26","25.44M","-0.45%"
"12/07/2022","85.12","85.30","86.42","84.37","23.52M","-0.23%"
"12/06/2022","85.32","87.08","88.13","84.73","32.47M","-2.64%"
"12/05/2022","87.63","91.20","91.56","86.88","25.01M","-2.97%"
"12/02/2022","90.31","90.22","91.38","89.78","18.38M","-0.59%"
"12/01/2022","90.85","91.79","92.25","90.54","19.41M","-0.33%"
"11/30/2022","91.15","91.71","91.89","89.71","21.87M","0.50%"
"11/29/2022","90.70","90.34","91.23","90.01","18.99M","1.51%"
"11/28/2022","89.35","89.62","90.75","89.05","29.11M","-2.74%"
"11/25/2022","91.87","92.27","92.92","91.71","7.59M","-0.37%"
"11/23/2022","92.21","91.53","92.79","91.19","20.60M","-1.08%"
"11/22/2022","93.22","91.52","93.43","91.10","26.88M","3.13%"
"11/21/2022","90.39","89.64","90.63","87.29","42.58M","-1.35%"
"11/18/2022","91.63","90.65","91.88","89.51","23.68M","-0.79%"
"11/17/2022","92.36","90.75","92.44","90.28","21.43M","0.22%"
"11/16/2022","92.16","93.24","93.81","91.68","23.51M","-2.04%"
"11/15/2022","94.08","93.45","94.32","92.84","25.74M","1.05%"
"11/14/2022","93.10","92.86","94.71","92.85","23.06M","-0.03%"
"11/11/2022","93.13","92.11","93.60","92.06","25.54M","2.91%"
"11/10/2022","90.50","90.36","90.60","88.50","29.24M","2.23%"
"11/09/2022","88.53","91.82","92.11","88.33","31.47M","-4.89%"
"11/08/2022","93.08","92.81","93.48","91.93","21.84M","0.10%"
"11/07/2022","92.99","91.61","93.28","91.45","19.35M","1.72%"
"11/04/2022","91.42","92.33","93.02","90.14","30.30M","1.22%"
"11/03/2022","90.32","88.14","90.82","87.89","26.79M","1.85%"
"11/02/2022","88.68","90.58","91.05","88.47","28.14M","-2.41%"
"11/01/2022","90.87","91.51","91.55","90.32","21.76M","0.97%"
"10/31/2022","90.00","88.37","91.18","88.27","29.54M","0.84%"
"10/28/2022","89.25","89.90","90.63","87.65","24.66M","0.35%"
"10/27/2022","88.94","89.84","90.44","88.67","24.95M","0.36%"
"10/26/2022","88.62","87.76","89.32","87.70","22.71M","1.36%"
"10/25/2022","87.43","87.00","87.83","86.53","18.81M","0.10%"
"10/24/2022","87.34","86.88","87.95","86.41","22.26M","0.47%"
"10/21/2022","86.93","84.99","87.08","84.77","25.27M","2.89%"
"10/20/2022","84.49","85.05","85.83","83.98","25.26M","0.09%"
"10/19/2022","84.41","82.23","84.72","82.20","31.26M","2.95%"
"10/18/2022","81.99","81.95","82.75","80.41","25.14M","0.87%"
"10/17/2022","81.28","81.54","82.62","81.05","18.99M","1.25%"
"10/14/2022","80.28","82.48","83.67","80.12","26.76M","-3.73%"
"10/13/2022","83.39","79.07","83.71","79.05","34.95M","4.08%"
"10/12/2022","80.12","78.96","80.68","78.44","20.55M","0.81%"
"10/11/2022","79.48","78.62","80.85","78.29","26.79M","-0.80%"
"10/10/2022","80.12","82.12","82.82","79.86","23.12M","-2.05%"
"10/07/2022","81.80","82.64","83.53","81.22","28.46M","-0.78%"
"10/06/2022","82.44","80.34","82.69","80.28","26.27M","1.78%"
"10/05/2022","81.00","79.33","81.63","78.65","30.64M","2.07%"
"10/04/2022","79.36","77.63","79.43","77.02","32.96M","4.30%"
"10/03/2022","76.09","74.61","76.49","74.49","34.78M","5.65%"
"09/30/2022","72.02","71.85","73.01","71.34","21.68M","-0.80%"
"09/29/2022","72.60","72.07","72.75","70.80","24.28M","0.00%"
"09/28/2022","72.60","70.22","73.00","69.80","31.47M","4.43%"
"09/27/2022","69.52","69.94","70.81","69.13","33.78M","1.12%"
"09/26/2022","68.75","70.04","70.92","68.66","36.08M","-2.45%"
"09/23/2022","70.48","72.76","72.90","69.94","52.74M","-6.90%"
"09/22/2022","75.70","77.35","77.60","75.64","28.87M","-0.36%"
"09/21/2022","75.97","78.55","78.66","75.94","34.27M","-1.47%"
"09/20/2022","77.10","77.10","77.54","76.19","21.11M","-0.70%"
"09/19/2022","77.64","75.46","77.69","75.28","18.52M","-1.02%"
"09/16/2022","78.44","79.90","79.96","77.30","35.20M","-2.13%"
"09/15/2022","80.15","80.81","81.15","79.75","27.90M","-2.58%"
"09/14/2022","82.27","80.76","82.85","80.76","27.16M","2.82%"
"09/13/2022","80.01","80.80","82.18","79.65","30.55M","-2.52%"
"09/12/2022","82.08","81.78","82.97","81.08","20.75M","1.84%"
"09/09/2022","80.60","80.08","80.98","79.46","19.34M","2.49%"
"09/08/2022","78.64","78.65","79.03","77.69","26.81M","0.43%"
"09/07/2022","78.30","77.49","78.64","76.78","30.20M","-1.16%"
"09/06/2022","79.22","80.71","80.98","78.89","22.75M","-0.93%"
"09/02/2022","79.96","80.45","81.02","79.53","28.59M","1.83%"
"09/01/2022","78.52","79.31","79.61","77.42","28.30M","-2.46%"
"08/31/2022","80.50","79.23","81.84","78.94","29.10M","-0.91%"
"08/30/2022","81.24","82.65","82.67","80.57","28.80M","-3.39%"
"08/29/2022","84.09","82.80","85.18","82.59","25.85M","1.51%"
"08/26/2022","82.84","83.65","84.56","82.47","19.32M","-1.17%"
"08/25/2022","83.82","83.66","84.24","83.01","19.85M","0.77%"
"08/24/2022","83.18","82.18","83.29","81.81","24.50M","1.23%"
"08/23/2022","82.17","80.61","82.79","80.55","27.18M","3.61%"
"08/22/2022","79.31","78.78","79.80","77.48","22.64M","-0.19%"
"08/19/2022","79.46","79.28","80.01","78.82","19.74M","-0.03%"
"08/18/2022","79.48","78.26","79.56","78.12","23.32M","2.69%"
"08/17/2022","77.40","76.41","78.20","76.21","22.74M","0.83%"
"08/16/2022","76.76","77.05","77.86","76.28","19.68M","-0.23%"
"08/15/2022","76.94","75.63","77.36","74.94","20.74M","-1.95%"
"08/12/2022","78.47","77.30","78.51","77.07","19.19M","0.76%"
"08/11/2022","77.88","76.70","78.54","76.47","29.59M","3.44%"
"08/10/2022","75.29","74.92","75.71","73.44","17.39M","0.72%"
"08/09/2022","74.75","74.50","75.70","74.37","17.34M","1.76%"
"08/08/2022","73.46","73.00","74.12","72.89","18.88M","0.52%"
"08/05/2022","73.08","70.69","73.71","70.69","22.59M","1.98%"
"08/04/2022","71.66","73.91","74.12","71.39","27.95M","-3.71%"
"08/03/2022","74.42","76.94","77.17","73.96","28.48M","-2.87%"
