Report generated on: 03-23-2023 11:38:06
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","population (Mperson)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4702-33-WORL-THP.A","    World","4291371.70752","4372023.9613","4453984.51777","4535853.49869","4570896.60081","4655137.47901","4742260.259","4831808.8651","4922567.6401","5051055.03749","5289000.0067","5392299.9295","5478651.03251","5579060.8473","5662218.88169","5744616.4084","5826493.6092","5907148.07851","5986299.4689","6065972.39461","6146673.8559","6227684.2246","6308270.8892","6388577.6715","6470362.3878","6552679.679","6635587.5171","6718593.3645","6804201.7991","6889089.28079","6974824.3807","7072331.2641","7161004.58621","7250833.6386","7339600.5048","7423673.2879","7509178.4903","7593647.6023","7676772.6449","7758281.1094","7835614.0236","7906368.78509","7974828.74637"
"INTL.4702-33-AFG-THP.A","        Afghanistan","13356.5","13171.68","12882.52","12537.73","12204.31","11938.2","11736.18","11604.54","11618.01","11868.87","12412.31","13299.02","14485.54","15816.6","17075.73","18110.66","18853.44","19357.13","19737.77","20170.85","20779.96","21606.99","22600.77","23680.87","24726.69","25654.27","26433.06","27100.54","27722.28","28394.81","29185.51","30117.41","31161.38","32269.59","33370.8","34413.6","35383.03","36296.11","37171.92","38041.76","38928.34","39835.43","40754.39"
"INTL.4702-33-ALB-THP.A","        Albania","2941.651","2992.389","3041.179","3087.911","3131.726","3171.725","3207.128","3237.676","3263.019","3282.182","3295.066","3302.081","3303.739","3300.711","3293.999","3284.364","3271.331","3253.719","3232.175","3208.26","3182.021","3153.612","3123.551","3092.991","3062.622","3032.634","3003.387","2976.084","2951.689","2930.541","2913.399","2900.654","2892.193","2887.014","2884.102","2882.481","2881.063","2879.355","2877.013","2873.883","2866.849","2854.71","2842.321"
"INTL.4702-33-DZA-THP.A","        Algeria","18739.38","19351.36","20000.1","20682.11","21393.53","22132.9","22882.55","23586.1","24243.02","24889.51","25518.07","26133.9","26748.3","27354.33","27937.01","28478.02","28984.63","29476.03","29924.67","30346.08","30774.62","31200.98","31624.7","32055.88","32510.19","32956.69","33435.08","33983.83","34569.59","35196.04","35856.34","36543.54","37260.56","38000.63","38760.17","39543.15","40339.33","41136.55","41927.01","42705.37","43451.66","44177.97","44903.23"
"INTL.4702-33-ASM-THP.A","        American Samoa","32.646","33.701","34.968","36.412","37.946","39.519","41.119","42.74","44.343","45.894","47.347","48.685","49.896","51.02","52.095","53.161","54.211","55.221","56.171","57.053","57.821","58.494","59.08","59.504","59.681","59.562","59.107","58.365","57.492","56.683","56.079","55.759","55.667","55.713","55.791","55.812","55.741","55.62","55.465","55.312","NA","NA","NA"
"INTL.4702-33-AGO-THP.A","        Angola","8330.047","8631.457","8947.152","9276.707","9617.702","9970.621","10332.57","10694.06","11060.26","11439.5","11828.64","12228.69","12632.51","13038.27","13462.03","13912.25","14383.35","14871.15","15366.86","15870.75","16394.06","16941.59","17516.14","18124.34","18771.13","19450.96","20162.34","20909.68","21691.52","22507.67","23364.19","24259.11","25188.29","26147","27128.34","28127.72","29154.75","30208.63","31273.53","32353.59","33428.48","34503.77","35588.99"
"INTL.4702-33-ATA-THP.A","        Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-ATG-THP.A","        Antigua and Barbuda","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","63.982","63.636","63.328","63.634","64.659","65.834","67.072","68.398","69.798","71.218","72.572","73.821","75.055","76.215","77.195","78.075","78.941","79.869","80.895","82.016","83.251","84.534","85.695","86.729","87.674","88.497","89.236","89.941","90.564","91.119","91.626","92.117","92.664","93.219","93.763"
"INTL.4702-33-ARG-THP.A","        Argentina","28080.29","28524.73","28974.02","29427.55","29884.68","30345.27","30811.17","31282.26","31755.46","32227.52","32696.16","33163.65","33631.23","34095.59","34553.27","35001.16","35438.83","35868.34","36291.16","36708.77","37121.93","37528.38","37927.88","38324.04","38720.74","39120.88","39522.74","39924.59","40328.68","40737.25","41153.76","41584.89","42027.62","42469.94","42899.38","43305.83","43691.9","44063.98","44419.91","44757.37","45072.82","45359.42","45620.28"
