country,erp
AGO,0.106142818
AUS,0.053415499
AUT,0.052353875
BHR,0.076299391
BEL,0.053415499
BRA,0.070401481
BGR,0.060375033
CMR,0.11593335
CAN,0.053887331
CHL,0.059195451
CHN,0.058369743
COL,0.066037027
CRI,0.093639248
HRV,0.064031737
CYP,0.062852155
CZE,0.056836287
DNK,0.052
EGY,0.09222375
SLV,0.099655117
EST,0.058369743
FIN,0.052353875
FRA,0.053769373
DEU,0.052
GRC,0.072996561
HKG,0.056364454
HUN,0.06320603
ISL,0.060846866
IND,0.064975403
IDN,0.065801111
IRQ,0.110389314
IRL,0.053887331
ISR,0.058723618
ITA,0.069693731
JPN,0.054477122
KAZ,0.062144406
KEN,0.099065326
KOR,0.079130388
KWT,0.05860566
LVA,0.061436657
LTU,0.060139116
MYS,0.059195451
MEX,0.066390902
MAR,0.064739487
NLD,0.052471833
NZL,0.053769373
NGA,0.098239618
NOR,0.052471833
OMN,0.08432055
PAK,0.104845278
PAN,0.0599032
PER,0.060375033
PHL,0.058841576
POL,0.060492991
PRT,0.05789791
QAT,0.058369743
ROU,0.064031737
RUS,0.062380322
RWA,0.087151547
SAU,0.062026448
SEN,0.082669135
SRB,0.064975403
SVK,0.057544036
SVN,0.06320603
ZAF,0.079130388
ESP,0.058487702
SWE,0.052117958
CHE,0.052
THA,0.055538746
TUN,0.097767785
TUR,0.090808251
UKR,0.111804812
GBR,0.053887331
USA,0.052
URY,0.065093361
