country,population_thsd,gdp_bil_ppp2015
AGO,32353.59,195.0316
AUS,25380.11,1224.822
AUT,8885.206,467.5802
BHR,1483.756,70.44566
BEL,11497.35,557.9879
BRA,211943.9,3041.514
CMR,25782.34,92.59921
CHL,18922.75,438.4558
CHN,1421481,23128.3
COL,50187.41,690.3567
CRI,5084.532,94.50924
HRV,4064.946,111.6322
CZE,10677.38,410.1197
DNK,5816.507,306.3473
EGY,105618.7,1303.533
SLV,6280.217,52.85938
EST,1328.976,44.90254
FIN,5522.527,253.0001
FRA,67266.75,2918.354
DEU,83111.41,4177.845
GRC,10720.83,301.293
HKG,7491.429,441.2215
HUN,9770.737,310.8975
IND,1384521,9284.868
IDN,269806.3,3227.7
IRQ,41563.52,448.9285
IRL,4941.865,418.0427
ISR,8607.919,355.24
ITA,59707.18,2342.298
JPN,126840.3,5340.402
KAZ,18754.26,464.7923
KEN,50951.45,211.8947
KWT,4441.1,180.9911
LVA,1907.675,55.72469
LTU,2794.09,97.47801
MYS,32847.44,908.5322
MEX,125088,2384.068
MAR,36304.41,302.113
NLD,17360.55,934.8982
NZL,4956.119,198.6714
NGA,203304.5,1015.889
NOR,5352.817,332.1988
OMN,4602.768,161.217
PAK,223293.3,1176.943
PAN,4232.532,118.8963
PER,32824.86,404.1886
PHL,110605.5,949.7116
POL,37963.64,1211.134
PRT,10288.67,342.7
QAT,2807.235,247.046
ROU,19360.95,524.0372
RUS,145633.7,3776.522
RWA,12835.03,26.87179
SAU,34218.17,1851.996
SEN,16000.78,55.42465
SRB,6945.235,121.7786
SVK,5455.079,181.9572
SVN,2095.861,76.67437
ZAF,58309.49,786.9859
KOR,51771.79,2160.641
ESP,47184.28,1794.591
SWE,10291.06,524.542
CHE,8606.033,582.3191
THA,71320.91,1247.414
TUN,12049.31,130.438
TUR,83487.25,2335.559
UKR,42153.2,487.6982
GBR,66827.69,3022.916
USA,330046.3,19928.97
URY,3428.409,78.08117
VNM,95776.72,908.7373
ZMB,18380.48,61.7948
