country,manufacturing_prc_gdp,gdp_bil_ppp2015
AGO,6.137445405,195.0316
AUS,5.605068907,1224.822
AUT,16.591013,467.5802
BHR,17.62160932,70.44566
BEL,12.34626916,557.9879
BRA,10.33250054,3041.514
CMR,12.82578021,92.59921
CHL,8.992566577,438.4558
CHN,26.77472171,23128.3
COL,10.92694054,690.3567
CRI,12.04644495,94.50924
HRV,11.89953084,111.6322
CZE,22.61708456,410.1197
DNK,13.40673475,306.3473
EGY,15.91269958,1303.533
SLV,15.55867794,52.85938
EST,13.09802636,44.90254
FIN,14.41227726,253.0001
FRA,10.00781495,2918.354
DEU,19.55664131,4177.845
GRC,7.812149358,301.293
HKG,1.032253801,441.2215
HUN,17.43648186,310.8975
IND,13.47361811,9284.868
IDN,19.70353909,3227.7
IRQ,2.137531496,448.9285
IRL,31.58510251,418.0427
ISR,11.39430759,355.24
ITA,14.88415792,2342.298
JPN,20.05877622,5340.402
KAZ,11.46636407,464.7923
KEN,7.904615937,211.8947
KWT,7.173064815,180.9911
LVA,10.6002563,55.72469
LTU,16.08323377,97.47801
MYS,21.40899482,908.5322
MEX,17.25436526,2384.068
MAR,14.74945073,302.113
NLD,10.77442485,934.8982
NZL,9.830013551,198.6714
NGA,11.5223587,1015.889
NOR,6.181057639,332.1988
OMN,8.02929792,161.217
PAK,12.58727459,1176.943
PAN,5.723312741,118.8963
PER,12.84935117,404.1886
PHL,18.5164544,949.7116
POL,16.92498816,1211.134
PRT,11.89529572,342.7
QAT,7.793395084,247.046
ROU,17.16843646,524.0372
RUS,12.96920728,3776.522
RWA,8.366595204,26.87179
SAU,12.06102266,1851.996
SEN,14.89541542,55.42465
SRB,13.68195214,121.7786
SVK,19.75418278,181.9572
SVN,20.62474535,76.67437
ZAF,12.39907742,786.9859
KOR,25.22222287,2160.641
ESP,10.91381623,1794.591
SWE,12.80441158,524.542
CHE,17.92353933,582.3191
THA,25.619617,1247.414
TUN,14.31893977,130.438
TUR,18.2939784,2335.559
UKR,10.78860042,487.6982
GBR,8.707091123,3022.916
USA,11.05803677,19928.97
URY,10.44005722,78.08117
VNM,23.78671736,908.7373
ZMB,6.788930097,61.7948
