Report generated on: 03-26-2023 15:18:04
"API","","2019"
"","total energy production from nuclear (quad Btu)",""
"INTL.4417-1-WORL-QBTU.A","    World","27.77312445835809"
"none","        Afghanistan",""
"none","        Albania",""
"none","        Algeria",""
"none","        American Samoa",""
"none","        Angola",""
"none","        Antarctica",""
"none","        Antigua and Barbuda",""
"INTL.4417-1-ARG-QBTU.A","        Argentina","0.0931232370855"
"INTL.4417-1-ARM-QBTU.A","        Armenia","0.023790025"
"INTL.4417-1-ABW-QBTU.A","        Aruba",""
"none","        Australia",""
"none","        Austria",""
"INTL.4417-1-AZE-QBTU.A","        Azerbaijan",""
"none","        Bahrain",""
"none","        Bangladesh",""
"none","        Barbados",""
"INTL.4417-1-BLR-QBTU.A","        Belarus",""
"INTL.4417-1-BEL-QBTU.A","        Belgium","0.4276856587136"
"none","        Belize",""
"none","        Benin",""
"none","        Bermuda",""
"none","        Bhutan",""
"none","        Bolivia",""
"INTL.4417-1-BIH-QBTU.A","        Bosnia and Herzegovina",""
"none","        Botswana",""
"INTL.4417-1-BRA-QBTU.A","        Brazil","0.157023684188619"
"none","        British Virgin Islands",""
"none","        Brunei",""
"INTL.4417-1-BGR-QBTU.A","        Bulgaria","0.1729311817766"
"none","        Burkina Faso",""
"none","        Burma",""
"none","        Burundi",""
"none","        Cabo Verde",""
"none","        Cambodia",""
"none","        Cameroon",""
"INTL.4417-1-CAN-QBTU.A","        Canada","1.0794651449371497"
"none","        Cayman Islands",""
"none","        Central African Republic",""
"none","        Chad",""
"none","        Chile",""
"INTL.4417-1-CHN-QBTU.A","        China","3.5684974"
"none","        Colombia",""
"none","        Comoros",""
"none","        Congo-Brazzaville",""
"none","        Congo-Kinshasa",""
"none","        Cook Islands",""
"none","        Costa Rica",""
"INTL.4417-1-HRV-QBTU.A","        Croatia",""
"none","        Cuba",""
"none","        Cyprus",""
"INTL.4417-1-CZE-QBTU.A","        Czechia","0.3232610380299"
"none","        Côte d’Ivoire",""
"none","        Denmark",""
"none","        Djibouti",""
"none","        Dominica",""
"none","        Dominican Republic",""
"none","        Ecuador",""
"none","        Egypt",""
"none","        El Salvador",""
"none","        Equatorial Guinea",""
"INTL.4417-1-ERI-QBTU.A","        Eritrea",""
"INTL.4417-1-EST-QBTU.A","        Estonia",""
"none","        Eswatini",""
"none","        Ethiopia",""
"none","        Falkland Islands",""
"none","        Faroe Islands",""
"none","        Fiji",""
"INTL.4417-1-FIN-QBTU.A","        Finland","0.2339224372841733"
"INTL.4417-1-CSK-QBTU.A","        Former Czechoslovakia","--"
"INTL.4417-1-SCG-QBTU.A","        Former Serbia and Montenegro","--"
"INTL.4417-1-SUN-QBTU.A","        Former U.S.S.R.","--"
"INTL.4417-1-YUG-QBTU.A","        Former Yugoslavia","--"
"INTL.4417-1-FRA-QBTU.A","        France","3.939839244390264"
"none","        French Guiana",""
"none","        French Polynesia",""
"none","        Gabon",""
"none","        Gambia, The",""
"INTL.4417-1-GEO-QBTU.A","        Georgia",""
"INTL.4417-1-DEU-QBTU.A","        Germany","0.7094230569993"
"INTL.4417-1-DDR-QBTU.A","        Germany, East","--"
"INTL.4417-1-DEUW-QBTU.A","        Germany, West","--"
"none","        Ghana",""
"none","        Gibraltar",""
"none","        Greece",""
"none","        Greenland",""
"none","        Grenada",""
"INTL.4417-1-GLP-QBTU.A","        Guadeloupe",""
"none","        Guam",""
"none","        Guatemala",""
"none","        Guinea",""
"none","        Guinea-Bissau",""
"none","        Guyana",""
"none","        Haiti",""
"INTL.4417-1-HITZ-QBTU.A","        Hawaiian Trade Zone","--"
"none","        Honduras",""
"none","        Hong Kong",""
"INTL.4417-1-HUN-QBTU.A","        Hungary","0.15502113"
"none","        Iceland",""
"INTL.4417-1-IND-QBTU.A","        India","0.45678104"
"none","        Indonesia",""
"INTL.4417-1-IRN-QBTU.A","        Iran","0.060648574"
"none","        Iraq",""
"none","        Ireland",""
"none","        Israel",""
"INTL.4417-1-ITA-QBTU.A","        Italy",""
"none","        Jamaica",""
"INTL.4417-1-JPN-QBTU.A","        Japan","0.6426844900924"
"none","        Jordan",""
"INTL.4417-1-KAZ-QBTU.A","        Kazakhstan",""
"none","        Kenya",""
"none","        Kiribati",""
"INTL.4417-1-XKS-QBTU.A","        Kosovo",""
"none","        Kuwait",""
"INTL.4417-1-KGZ-QBTU.A","        Kyrgyzstan",""
"none","        Laos",""
"INTL.4417-1-LVA-QBTU.A","        Latvia",""
"none","        Lebanon",""
"none","        Lesotho",""
"none","        Liberia",""
"none","        Libya",""
"INTL.4417-1-LTU-QBTU.A","        Lithuania",""
"none","        Luxembourg",""
"none","        Macau",""
"none","        Madagascar",""
"none","        Malawi",""
"none","        Malaysia",""
"none","        Maldives",""
"none","        Mali",""
"none","        Malta",""
"INTL.4417-1-MTQ-QBTU.A","        Martinique",""
"none","        Mauritania",""
"none","        Mauritius",""
"INTL.4417-1-MEX-QBTU.A","        Mexico","0.1095172660065"
"INTL.4417-1-FSM-QBTU.A","        Micronesia","NA"
"INTL.4417-1-MDA-QBTU.A","        Moldova",""
"none","        Mongolia",""
"INTL.4417-1-MNE-QBTU.A","        Montenegro",""
"none","        Montserrat",""
"none","        Morocco",""
"none","        Mozambique",""
"INTL.4417-1-NAM-QBTU.A","        Namibia",""
"none","        Nauru",""
"none","        Nepal",""
"INTL.4417-1-NLD-QBTU.A","        Netherlands","0.035969859118602"
"none","        Netherlands Antilles",""
"none","        New Caledonia",""
"none","        New Zealand",""
"none","        Nicaragua",""
"none","        Niger",""
"none","        Nigeria",""
"none","        Niue",""
"none","        North Korea",""
"INTL.4417-1-MKD-QBTU.A","        North Macedonia",""
"INTL.4417-1-MNP-QBTU.A","        Northern Mariana Islands","NA"
"none","        Norway",""
"none","        Oman",""
"INTL.4417-1-PAK-QBTU.A","        Pakistan","0.095718828"
"INTL.4417-1-PSE-QBTU.A","        Palestinian Territories",""
"none","        Panama",""
"none","        Papua New Guinea",""
"none","        Paraguay",""
"none","        Peru",""
"none","        Philippines",""
"none","        Poland",""
"none","        Portugal",""
"none","        Puerto Rico",""
"none","        Qatar",""
"INTL.4417-1-REU-QBTU.A","        Reunion",""
"INTL.4417-1-ROU-QBTU.A","        Romania","0.123421098007"
"INTL.4417-1-RUS-QBTU.A","        Russia","2.105716415"
"none","        Rwanda",""
"none","        Saint Helena",""
"none","        Saint Kitts and Nevis",""
"none","        Saint Lucia",""
"none","        Saint Pierre and Miquelon",""
"none","        Saint Vincent/Grenadines",""
"none","        Samoa",""
"none","        Sao Tome and Principe",""
"none","        Saudi Arabia",""
"none","        Senegal",""
"INTL.4417-1-SRB-QBTU.A","        Serbia",""
"none","        Seychelles",""
"none","        Sierra Leone",""
"none","        Singapore",""
"INTL.4417-1-SVK-QBTU.A","        Slovakia","0.169433610192"
"INTL.4417-1-SVN-QBTU.A","        Slovenia","0.055523468349"
"none","        Solomon Islands",""
"none","        Somalia",""
"INTL.4417-1-ZAF-QBTU.A","        South Africa","0.136506105"
"INTL.4417-1-KOR-QBTU.A","        South Korea","1.3429694095992"
"INTL.4417-1-SSD-QBTU.A","        South Sudan",""
"INTL.4417-1-ESP-QBTU.A","        Spain","0.5555153970368807"
"none","        Sri Lanka",""
"none","        Sudan",""
"none","        Suriname",""
"INTL.4417-1-SWE-QBTU.A","        Sweden","0.6470070369943"
"INTL.4417-1-CHE-QBTU.A","        Switzerland","0.26121824"
"none","        Syria",""
"INTL.4417-1-TWN-QBTU.A","        Taiwan","0.32436564012"
"INTL.4417-1-TJK-QBTU.A","        Tajikistan",""
"none","        Tanzania",""
"none","        Thailand",""
"none","        The Bahamas",""
"INTL.4417-1-TLS-QBTU.A","        Timor-Leste",""
"none","        Togo",""
"none","        Tonga",""
