country,coal,nat_gas,nuclear,petroleum,renewables,manufacturing_prc_gdp,erp,population_thsd,gdp_bil_ppp2015
AGO,0,0.047838582,0,0.258252532,0.09877426,6.137445405,0.106142818,32353.59,195.0316
AUS,1.69693128,1.654034793,0,2.382939067,0.472231631,5.605068907,0.053415499,25380.11,1224.822
AUT,0.07779845,0.334443627,0,0.578893457,0.525334875,16.591013,0.052353875,8885.206,467.5802
BHR,0,0.654039156,0,0.137456625,0.00078851,17.62160932,0.076299391,1483.756,70.44566
BEL,0.101275435,0.654131166,0.427685659,1.329297537,0.183645774,12.34626916,0.053415499,11497.35,557.9879
BRA,0.63078716,1.212209558,0.157023684,5.889385524,4.70709485,10.33250054,0.070401481,211943.9,3041.514
CMR,0,0.027617132,0,0.075922284,0.047796085,12.82578021,0.11593335,25782.34,92.59921
CHL,0.272901067,0.236882134,0,0.725696997,0.334998019,8.992566577,0.059195451,18922.75,438.4558
CHN,91.3648283,11.26908045,3.5684974,27.90578568,17.70379335,26.77472171,0.058369743,1421481,23128.3
COL,0.187437809,0.38326167,0,0.710249263,0.403068189,10.92694054,0.066037027,50187.41,690.3567
CRI,0.00000366,0,0,0.126086327,0.099664658,12.04644495,0.093639248,5084.532,94.50924
HRV,0.016887568,0.107011227,0,0.144389219,0.096265783,11.89953084,0.064031737,4064.946,111.6322
CZE,0.607271772,0.315500036,0.323261038,0.448852151,0.034742315,22.61708456,0.056836287,10677.38,410.1197
DNK,0.036733313,0.108842421,0,0.344006632,0.232666719,13.40673475,0.052,5816.507,306.3473
EGY,0.09374494,2.153534156,0,1.622054285,0.184308266,15.91269958,0.09222375,105618.7,1303.533
SLV,0,0,0,0.113549062,0.042272402,15.55867794,0.099655117,6280.217,52.85938
EST,0.000464026,0.016975797,0,0.056974099,0.02700925,13.09802636,0.058369743,1328.976,44.90254
FIN,0.094860623,0.092926146,0.233922437,0.41882674,0.359869348,14.41227726,0.052353875,5522.527,253.0001
FRA,0.264135269,1.630044261,3.939839244,3.460144353,0.849890798,10.00781495,0.053769373,67266.75,2918.354
DEU,2.243220115,3.484291161,0.709423057,4.822135596,2.101300865,19.55664131,0.052,83111.41,4177.845
GRC,0.13819831,0.195221954,0,0.644989611,0.176813661,7.812149358,0.072996561,10720.83,301.293
HKG,0.252124057,0.122218338,0,0.86241555,0.043645469,1.032253801,0.056364454,7491.429,441.2215
HUN,0.087017032,0.367911588,0.15502113,0.366362387,0.079346553,17.43648186,0.06320603,9770.737,310.8975
IND,16.36276258,2.346637484,0.45678104,9.812736464,2.770134722,13.47361811,0.064975403,1384521,9284.868
IDN,2.77272123,1.640137869,0,3.177467544,0.444879337,19.70353909,0.065801111,269806.3,3227.7
IRQ,0,0.666064164,0,1.700833593,0.164914203,2.137531496,0.110389314,41563.52,448.9285
IRL,0.005861905,0.207544504,0,0.329439153,0.108055086,31.58510251,0.053887331,4941.865,418.0427
ISR,0.146335553,0.390604019,0,0.474113726,0.004462344,11.39430759,0.058723618,8607.919,355.24
ITA,0.280617334,2.688936205,0,2.571070996,0.996620251,14.88415792,0.069693731,59707.18,2342.298
JPN,4.713906721,4.393224091,0.64268449,7.56103107,1.634607452,20.05877622,0.054477122,126840.3,5340.402
KAZ,2.074262526,0.537338415,0,0.626333032,0.126151,11.46636407,0.062144406,18754.26,464.7923
KEN,0.012858562,0,0,0.233631989,0.091887808,7.904615937,0.099065326,50951.45,211.8947
KWT,0.006024634,0.91540912,0,0.701060713,0.000625258,7.173064815,0.05860566,4441.1,180.9911
LVA,0.001597752,0.049151358,0,0.082243338,0.032120374,10.6002563,0.061436657,1907.675,55.72469
LTU,0.006821835,0.081460655,0,0.140643014,0.055018053,16.08323377,0.060139116,2794.09,97.47801
MYS,0.721451316,1.440597668,0,1.396144947,0.295279411,21.40899482,0.059195451,32847.44,908.5322
MEX,0.416172748,3.014750733,0.109517266,3.850891943,0.522717524,17.25436526,0.066390902,125088,2384.068
MAR,0.215030068,0.039552984,0,0.585375288,0.064575461,14.74945073,0.064739487,36304.41,302.113
NLD,0.249735237,1.408451926,0.035969859,1.874488599,0.216890324,10.77442485,0.052471833,17360.55,934.8982
NZL,0.052287024,0.178013526,0,0.37605809,0.323696532,9.830013551,0.053769373,4956.119,198.6714
NGA,0.002727332,0.694662428,0,0.949338189,0.075621714,11.5223587,0.098239618,203304.5,1015.889
NOR,0.022412895,0.202739724,0,0.472061545,1.164802331,6.181057639,0.052471833,5352.817,332.1988
OMN,0.001849959,0.866672727,0,0.471247629,0.000151385,8.02929792,0.08432055,4602.768,161.217
PAK,0.538793574,1.250279668,0.095718828,0.988561632,0.377059979,12.58727459,0.104845278,223293.3,1176.943
PAN,0.020413039,0.021300219,0,0.306773516,0.054091735,5.723312741,0.0599032,4232.532,118.8963
PER,0.01009006,0.340539843,0,0.51571746,0.302790524,12.84935117,0.060375033,32824.86,404.1886
PHL,0.733597275,0.129266371,0,1.023700065,0.196874747,18.5164544,0.058841576,110605.5,949.7116
POL,2.080676215,0.69744631,0,1.406306117,0.093082967,16.92498816,0.060492991,37963.64,1211.134
PRT,0.05199813,0.227294451,0,0.510584761,0.256038236,11.89529572,0.05789791,10288.67,342.7
QAT,0,1.685557486,0,0.567685062,0.001125271,7.793395084,0.058369743,2807.235,247.046
ROU,0.19058241,0.374313824,0.123421098,0.440534097,0.24479663,17.16843646,0.064031737,19360.95,524.0372
RUS,4.901168924,16.70375826,2.105716415,7.25145317,1.63584823,12.96920728,0.062380322,145633.7,3776.522
RWA,0,0.002127195,0,0.016685527,0.00420471,8.366595204,0.087151547,12835.03,26.87179
SAU,0.002939167,4.16933652,0,7.182023333,0.003940278,12.06102266,0.062026448,34218.17,1851.996
SEN,0.020953049,0.001904892,0,0.11975917,0.007709586,14.89541542,0.082669135,16000.78,55.42465
SRB,0.309140277,0.087218814,0,0.15826988,0.117183208,13.68195214,0.064975403,6945.235,121.7786
SVK,0.114351116,0.174116817,0.16943361,0.176923971,0.070858114,19.75418278,0.057544036,5455.079,181.9572
SVN,0.040971275,0.028392846,0.055523468,0.113456121,0.044530392,20.62474535,0.06320603,2095.861,76.67437
ZAF,4.11918667,0.195846667,0.136506105,1.254034801,0.10463384,12.39907742,0.079130388,58309.49,786.9859
KOR,3.386180407,2.114467163,1.34296941,5.285041766,0.26022009,25.22222287,0.079130388,51771.79,2160.641
ESP,0.154171166,1.368008435,0.555515397,2.764116671,0.928864003,10.91381623,0.058487702,47184.28,1794.591
SWE,0.065062637,0.044459314,0.647007037,0.601660163,0.809915451,12.80441158,0.052117958,10291.06,524.542
CHE,0.002767913,0.130538468,0.26121824,0.450687239,0.340603671,17.92353933,0.052,8606.033,582.3191
THA,0.61182801,1.941089241,0,2.462613604,0.377174004,25.619617,0.055538746,71320.91,1247.414
TUN,0.0000804,0.201562785,0,0.208019827,0.006745208,14.31893977,0.097767785,12049.31,130.438
TUR,1.791917791,1.631245087,0,2.001987996,1.184251339,18.2939784,0.090808251,83487.25,2335.559
UKR,1.098336876,1.000638301,0.853422424,0.475070426,0.115931731,10.78860042,0.111804812,42153.2,487.6982
GBR,0.218881467,2.901287107,0.460870806,3.193509753,1.203726943,8.707091123,0.053887331,66827.69,3022.916
USA,11.31559469,32.26369225,8.451851513,38.32938588,11.47271381,11.05803677,0.052,330046.3,19928.97
URY,3.74E-08,0.003581506,0,0.0999996,0.130208032,10.44005722,0.065093361,3428.409,78.08117
VNM,2.032763805,0.35486619,0,0.983412043,0.680418275,23.78671736,0.068632108,95776.72,908.7373
ZMB,0.026096276,0,0,0.052134907,0.108908301,6.788930097,0.193785768,18380.48,61.7948
