Report generated on: 03-25-2023 22:46:56
"API","","2019"
"","World",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-WORL-QBTU.A","        Coal (quad Btu)","164.1914312095376"
"INTL.4413-2-WORL-QBTU.A","        Natural gas (quad Btu)","146.1382362864513"
"INTL.4415-2-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","197.23013423579755"
"","        Nuclear, renewables, and other (quad Btu)",""
"INTL.4417-2-WORL-QBTU.A","            Nuclear (quad Btu)","27.77312445835809"
"INTL.4418-2-WORL-QBTU.A","            Renewables and other (quad Btu)","66.91657974999096"
"","Afghanistan",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-AFG-QBTU.A","        Coal (quad Btu)","0.025162146310862898"
"INTL.4413-2-AFG-QBTU.A","        Natural gas (quad Btu)","0.005039073584885323"
"INTL.4415-2-AFG-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0485501723"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-AFG-QBTU.A","            Renewables and other (quad Btu)","0.024685194"
"","Albania",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ALB-QBTU.A","        Coal (quad Btu)","0.004093169855767595"
"INTL.4413-2-ALB-QBTU.A","        Natural gas (quad Btu)","0.002730013873088"
"INTL.4415-2-ALB-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0524847363"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-ALB-QBTU.A","            Renewables and other (quad Btu)","0.05430113712"
"","Algeria",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-DZA-QBTU.A","        Coal (quad Btu)","0.0004054356405179378"
"INTL.4413-2-DZA-QBTU.A","        Natural gas (quad Btu)","1.734907224564"
"INTL.4415-2-DZA-QBTU.A","        Petroleum and other liquids (quad Btu)","0.8727348975"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-DZA-QBTU.A","            Renewables and other (quad Btu)","0.016825538438247623"
"","American Samoa",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ASM-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-ASM-QBTU.A","        Natural gas (quad Btu)","0"
"INTL.4415-2-ASM-QBTU.A","        Petroleum and other liquids (quad Btu)","0.004911508895818637"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-ASM-QBTU.A","            Renewables and other (quad Btu)","0.000044525"
"","Angola",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-AGO-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-AGO-QBTU.A","        Natural gas (quad Btu)","0.0478385817"
"INTL.4415-2-AGO-QBTU.A","        Petroleum and other liquids (quad Btu)","0.2582525323"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-AGO-QBTU.A","            Renewables and other (quad Btu)","0.09877426"
"","Antarctica",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ATA-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-ATA-QBTU.A","        Natural gas (quad Btu)","0"
"INTL.4415-2-ATA-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0001865087"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-ATA-QBTU.A","            Renewables and other (quad Btu)","0"
"","Antigua and Barbuda",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ATG-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-ATG-QBTU.A","        Natural gas (quad Btu)","0"
"INTL.4415-2-ATG-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0102664461"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-ATG-QBTU.A","            Renewables and other (quad Btu)","0.000115765"
"","Argentina",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ARG-QBTU.A","        Coal (quad Btu)","0.021913297285552986"
"INTL.4413-2-ARG-QBTU.A","        Natural gas (quad Btu)","1.98016328532"
"INTL.4415-2-ARG-QBTU.A","        Petroleum and other liquids (quad Btu)","1.258250833"
"","        Nuclear, renewables, and other (quad Btu)",""
"INTL.4417-2-ARG-QBTU.A","            Nuclear (quad Btu)","0.0931232370855"
"INTL.4418-2-ARG-QBTU.A","            Renewables and other (quad Btu)","0.35088633474921505"
"","Armenia",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ARM-QBTU.A","        Coal (quad Btu)","0.00011220672398596684"
"INTL.4413-2-ARM-QBTU.A","        Natural gas (quad Btu)","0.09236238889422"
"INTL.4415-2-ARM-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0212440127"
"","        Nuclear, renewables, and other (quad Btu)",""
"INTL.4417-2-ARM-QBTU.A","            Nuclear (quad Btu)","0.023790025"
"INTL.4418-2-ARM-QBTU.A","            Renewables and other (quad Btu)","0.01820384145"
"","Aruba",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-ABW-QBTU.A","        Coal (quad Btu)","0"
"INTL.4413-2-ABW-QBTU.A","        Natural gas (quad Btu)","0"
"INTL.4415-2-ABW-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0172584412"
"","        Nuclear, renewables, and other (quad Btu)",""
"INTL.4417-2-ABW-QBTU.A","            Nuclear (quad Btu)",""
"INTL.4418-2-ABW-QBTU.A","            Renewables and other (quad Btu)","0.00130647036"
"","Australia",""
"","    Consumption (quad Btu)",""
"INTL.4411-2-AUS-QBTU.A","        Coal (quad Btu)","1.6969312797035991"
"INTL.4413-2-AUS-QBTU.A","        Natural gas (quad Btu)","1.6540347931796417"
"INTL.4415-2-AUS-QBTU.A","        Petroleum and other liquids (quad Btu)","2.38293906705196"
"","        Nuclear, renewables, and other (quad Btu)",""
"none","            Nuclear (quad Btu)",""
"INTL.4418-2-AUS-QBTU.A","            Renewables and other (quad Btu)","0.4722316305143577"
"","Austria",""
"","    Consumption (quad Btu)",""
