"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","1,130.00","1,250.00","1,250.00","1,250.00","","-25.41%"
"12/18/2022","1,515.00","1,548.00","1,548.00","1,548.00","","-2.88%"
"12/11/2022","1,560.00","1,361.00","1,361.00","1,361.00","","12.55%"
"12/04/2022","1,386.00","1,323.00","1,323.00","1,323.00","","4.68%"
"11/27/2022","1,324.00","1,347.00","1,347.00","1,347.00","","0.00%"
"11/20/2022","1,324.00","1,177.00","1,177.00","1,177.00","","11.35%"
"11/13/2022","1,189.00","1,325.00","1,325.00","1,325.00","","-12.25%"
"11/06/2022","1,355.00","1,337.00","1,337.00","1,337.00","","2.42%"
"10/30/2022","1,323.00","1,377.00","1,377.00","1,377.00","","-13.75%"
"10/23/2022","1,534.00","1,797.00","1,797.00","1,797.00","","-15.67%"
"10/16/2022","1,819.00","1,843.00","1,843.00","1,843.00","","-1.03%"
"10/09/2022","1,838.00","1,944.00","1,944.00","1,944.00","","-6.27%"
"10/02/2022","1,961.00","1,788.00","1,788.00","1,788.00","","11.42%"
"09/25/2022","1,760.00","1,813.00","1,813.00","1,813.00","","-3.08%"
"09/18/2022","1,816.00","1,729.00","1,729.00","1,729.00","","16.93%"
"09/11/2022","1,553.00","1,256.00","1,256.00","1,256.00","","28.03%"
"09/04/2022","1,213.00","1,133.00","1,133.00","1,133.00","","11.69%"
"08/28/2022","1,086.00","1,017.00","1,086.00","965.00","","0.37%"
"08/21/2022","1,082.00","1,270.00","1,271.00","1,082.00","","-15.40%"
"08/14/2022","1,279.00","1,404.00","1,404.00","1,279.00","","-13.41%"
"08/07/2022","1,477.00","1,566.00","1,592.00","1,477.00","","-5.32%"
"07/31/2022","1,560.00","1,872.00","1,872.00","1,560.00","","-17.68%"
"07/24/2022","1,895.00","2,114.00","2,114.00","1,895.00","","-11.70%"
"07/17/2022","2,146.00","2,162.00","2,162.00","2,113.00","","-0.19%"
"07/10/2022","2,150.00","2,081.00","2,150.00","2,002.00","","4.02%"
"07/03/2022","2,067.00","2,159.00","2,159.00","2,043.00","","-6.64%"
"06/26/2022","2,214.00","2,295.00","2,295.00","2,186.00","","-5.02%"
"06/19/2022","2,331.00","2,596.00","2,596.00","2,331.00","","-9.58%"
"06/12/2022","2,578.00","2,260.00","2,578.00","2,260.00","","11.12%"
"06/05/2022","2,320.00","2,560.00","2,560.00","2,320.00","","-11.89%"
"05/29/2022","2,633.00","2,571.00","2,633.00","2,566.00","","-1.79%"
"05/22/2022","2,681.00","3,369.00","3,369.00","2,681.00","","-19.83%"
"05/15/2022","3,344.00","3,085.00","3,344.00","3,085.00","","7.73%"
"05/08/2022","3,104.00","2,831.00","3,117.00","2,831.00","","14.20%"
"05/01/2022","2,718.00","2,412.00","2,718.00","2,412.00","","13.06%"
"04/24/2022","2,404.00","2,356.00","2,425.00","2,356.00","","4.20%"
"04/17/2022","2,307.00","2,115.00","2,307.00","2,115.00","","7.96%"
"04/10/2022","2,137.00","2,031.00","2,137.00","2,031.00","","3.99%"
"04/03/2022","2,055.00","2,307.00","2,307.00","2,055.00","","-12.81%"
"03/27/2022","2,357.00","2,484.00","2,484.00","2,357.00","","-7.35%"
"03/20/2022","2,544.00","2,589.00","2,589.00","2,544.00","","-2.34%"
"03/13/2022","2,605.00","2,727.00","2,727.00","2,588.00","","-4.16%"
"03/06/2022","2,718.00","2,235.00","2,718.00","2,235.00","","26.54%"
"02/27/2022","2,148.00","2,040.00","2,148.00","2,040.00","","3.47%"
"02/20/2022","2,076.00","2,045.00","2,244.00","2,045.00","","5.70%"
"02/13/2022","1,964.00","1,984.00","1,984.00","1,886.00","","-0.66%"
"02/06/2022","1,977.00","1,422.00","1,977.00","1,422.00","","38.93%"
