"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","396.15","396.00","400.00","390.00","0.29K","-1.98%"
"12/25/2022","404.15","402.50","402.50","402.50","0.00K","0.76%"
"12/18/2022","401.10","401.35","401.35","401.35","0.01K","-0.47%"
"12/11/2022","403.00","401.00","405.00","401.00","0.17K","0.12%"
"12/04/2022","402.50","405.00","405.00","400.00","0.06K","2.94%"
"11/27/2022","391.00","380.00","397.00","380.00","0.11K","11.91%"
"11/20/2022","349.40","347.75","347.75","347.75","0.01K","1.73%"
"11/13/2022","343.45","343.45","343.45","343.45","0.05K","5.09%"
"11/06/2022","326.80","347.00","347.00","325.00","0.23K","-6.49%"
"10/30/2022","349.50","362.50","362.50","354.00","0.16K","-9.39%"
"10/23/2022","385.70","385.70","385.70","385.70","0.09K","-1.10%"
"10/16/2022","390.00","390.00","390.00","390.00","0.03K","-0.64%"
"10/09/2022","392.50","405.00","405.00","397.00","0.11K","1.74%"
"10/02/2022","385.80","399.00","399.00","385.00","0.19K","-11.04%"
"09/25/2022","433.70","433.70","433.70","433.70","","-0.34%"
"09/18/2022","435.20","440.00","440.00","440.00","0.03K","-0.87%"
"09/11/2022","439.00","437.00","438.00","436.00","0.08K","0.86%"
"09/04/2022","435.25","430.00","440.00","430.00","0.04K","0.06%"
"08/28/2022","435.00","435.00","435.00","435.00","0.01K","4.22%"
"08/21/2022","417.40","417.40","417.40","417.40","","0.28%"
"08/14/2022","416.25","416.25","416.25","416.25","","2.11%"
"08/07/2022","407.65","407.65","407.65","407.65","0.02K","12.92%"
"07/31/2022","361.00","390.00","390.00","390.00","0.08K","-11.50%"
"07/24/2022","407.90","407.90","407.90","407.90","","-0.32%"
"07/17/2022","409.20","399.00","399.00","399.00","0.00K","0.65%"
"07/10/2022","406.55","426.00","432.00","410.00","0.02K","-1.74%"
"07/03/2022","413.75","411.00","412.00","411.00","0.04K","6.64%"
"06/26/2022","388.00","389.00","395.00","380.00","0.08K","-2.27%"
"06/19/2022","397.00","395.00","395.00","395.00","0.01K","1.96%"
"06/12/2022","389.35","383.00","395.00","383.00","0.02K","-0.76%"
"06/05/2022","392.35","408.00","408.00","392.00","0.13K","-4.88%"
"05/29/2022","412.50","390.00","428.00","390.00","0.10K","1.44%"
"05/22/2022","406.65","408.00","408.00","400.00","0.05K","-2.54%"
"05/15/2022","417.25","414.00","419.25","412.00","0.21K","6.21%"
"05/08/2022","392.85","378.00","393.00","374.00","0.16K","3.52%"
"05/01/2022","379.50","325.00","355.00","325.00","0.23K","16.20%"
"04/24/2022","326.60","328.50","328.50","326.05","0.09K","-0.15%"
"04/17/2022","327.10","321.00","333.00","321.00","0.08K","5.82%"
"04/10/2022","309.10","292.00","314.00","292.00","0.15K","6.00%"
"04/03/2022","291.60","296.00","296.00","285.00","0.29K","12.70%"
"03/27/2022","258.75","261.00","264.00","258.00","0.30K","-20.91%"
"03/20/2022","327.15","330.00","330.00","325.00","0.01K","-2.63%"
"03/13/2022","336.00","361.50","361.50","334.50","0.14K","-8.86%"
"03/06/2022","368.65","415.00","425.00","366.00","0.58K","-11.96%"
"02/27/2022","418.75","262.50","435.00","262.50","0.48K","75.50%"
"02/20/2022","238.60","236.50","239.25","235.00","0.05K","2.69%"
"02/13/2022","232.35","243.50","243.50","232.50","0.03K","-5.16%"
"02/06/2022","245.00","231.00","242.00","231.00","0.09K","7.79%"
"01/30/2022","227.30","210.00","227.00","210.00","0.28K","-0.15%"
"01/23/2022","227.65","227.65","227.65","227.65","0.00K","1.36%"
"01/16/2022","224.60","226.00","226.00","225.00","0.05K","3.62%"
"01/09/2022","216.75","203.00","220.00","197.00","0.23K","10.64%"
"01/02/2022","195.90","172.00","195.00","171.00","1.50K","15.51%"
"12/26/2021","169.60","169.60","169.60","169.60","","0.41%"
"12/19/2021","168.90","168.90","168.90","168.90","","0.54%"
"12/12/2021","168.00","168.00","168.00","168.00","","2.60%"
"12/05/2021","163.75","159.00","165.00","159.00","0.17K","5.48%"
"11/28/2021","155.25","164.50","164.50","152.00","0.38K","-1.43%"
"11/21/2021","157.50","160.00","160.00","160.00","0.00K","3.28%"
"11/14/2021","152.50","152.50","152.50","152.50","","1.67%"
"11/07/2021","150.00","161.00","170.00","151.00","0.27K","-3.47%"
"10/31/2021","155.40","155.00","161.35","139.00","0.38K","-30.45%"
"10/24/2021","223.45","223.45","223.45","223.45","","-2.85%"
"10/17/2021","230.00","240.00","240.00","232.00","0.02K","-4.17%"
"10/10/2021","240.00","240.00","247.00","238.00","0.15K","0.59%"
"10/03/2021","238.60","228.00","242.75","228.00","0.32K","4.65%"
"09/26/2021","228.00","210.00","212.50","210.00","0.26K","25.62%"
"09/19/2021","181.50","180.00","181.00","180.00","0.01K","2.25%"
"09/12/2021","177.50","177.50","177.50","177.50","0.01K","-0.06%"
"09/05/2021","177.60","177.60","177.60","177.60","","-0.78%"
"08/29/2021","179.00","172.00","172.00","172.00","0.04K","4.71%"
"08/22/2021","170.95","170.95","170.95","170.95","","1.91%"
"08/15/2021","167.75","172.25","172.25","172.00","0.07K","-2.89%"
"08/08/2021","172.75","165.00","172.25","165.00","0.11K","7.33%"
"08/01/2021","160.95","152.75","160.95","152.25","0.45K","7.48%"
"07/25/2021","149.75","149.75","149.75","149.75","","0.00%"
"07/18/2021","149.75","148.75","150.00","148.75","0.08K","1.11%"
"07/11/2021","148.10","148.10","148.10","148.10","0.08K","3.57%"
"07/04/2021","143.00","142.50","143.00","140.00","0.25K","2.69%"
"06/27/2021","139.25","130.50","137.75","128.50","0.36K","9.04%"
"06/20/2021","127.70","127.70","127.70","127.70","0.07K","2.16%"
"06/13/2021","125.00","125.00","125.00","125.00","0.03K","-1.57%"
"06/06/2021","127.00","127.00","127.00","127.00","0.05K","6.05%"
"05/30/2021","119.75","119.00","121.25","119.00","0.03K","12.97%"
"05/23/2021","106.00","101.00","105.00","101.00","0.01K","4.95%"
"05/16/2021","101.00","99.50","101.00","99.20","0.03K","2.02%"
"05/09/2021","99.00","97.40","97.65","97.40","0.03K","2.96%"
"05/02/2021","96.15","95.15","95.25","95.15","0.05K","3.05%"
"04/25/2021","93.30","93.30","93.30","93.30","0.01K","0.32%"
"04/18/2021","93.00","93.00","93.00","93.00","0.03K","-1.38%"
"04/11/2021","94.30","93.50","94.35","93.50","0.20K","1.29%"
"04/04/2021","93.10","94.60","94.60","93.00","0.41K","-3.52%"
"03/28/2021","96.50","95.25","97.25","93.25","0.28K","2.71%"
"03/21/2021","93.95","94.00","95.00","94.00","0.02K","1.29%"
"03/14/2021","92.75","90.50","93.00","90.50","0.03K","3.06%"
"03/07/2021","90.00","87.50","90.00","87.30","0.07K","2.56%"
"02/28/2021","87.75","84.50","88.00","84.50","0.23K","3.11%"
"02/21/2021","85.10","85.10","85.10","85.10","0.07K","-1.05%"
"02/14/2021","86.00","87.00","87.00","86.50","0.02K","-1.66%"
"02/07/2021","87.45","87.00","87.00","87.00","0.14K","0.92%"
"01/31/2021","86.65","89.25","89.25","83.50","0.40K","0.52%"
"01/24/2021","86.20","85.90","86.25","85.90","0.04K","0.35%"
"01/17/2021","85.90","85.55","85.55","84.75","0.08K","-1.72%"
"01/10/2021","87.40","87.40","87.40","87.40","0.24K","3.68%"
"01/03/2021","84.30","82.25","84.00","79.30","0.36K","4.72%"
