"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","7,109.60","7,038.70","7,116.80","6,905.30","2.11B","1.01%"
"12/25/2022","7,038.70","7,107.70","7,124.00","6,993.80","1.35B","-0.97%"
"12/18/2022","7,107.70","7,148.70","7,167.20","7,019.50","2.83B","-0.57%"
"12/11/2022","7,148.70","7,213.20","7,253.50","7,117.60","4.39B","-0.89%"
"12/04/2022","7,213.20","7,301.50","7,351.00","7,170.00","3.72B","-1.21%"
"11/27/2022","7,301.50","7,259.50","7,375.20","7,200.90","4.66B","0.58%"
"11/20/2022","7,259.50","7,151.80","7,268.50","7,131.70","3.00B","1.51%"
"11/13/2022","7,151.80","7,158.00","7,196.50","7,102.90","4.17B","-0.09%"
"11/06/2022","7,158.00","6,892.50","7,170.60","6,892.50","4.07B","3.85%"
"10/30/2022","6,892.50","6,785.70","7,011.70","6,785.70","3.91B","1.57%"
"10/23/2022","6,785.70","6,676.80","6,873.80","6,676.80","3.82B","1.63%"
"10/16/2022","6,676.80","6,758.90","6,822.20","6,645.20","3.93B","-1.21%"
"10/09/2022","6,758.80","6,762.80","6,772.60","6,633.00","3.45B","-0.06%"
"10/02/2022","6,762.80","6,474.20","6,828.30","6,411.90","4.22B","4.46%"
"09/25/2022","6,474.20","6,574.70","6,594.70","6,433.10","4.93B","-1.53%"
"09/18/2022","6,574.70","6,739.10","6,808.30","6,544.90","3.18B","-2.44%"
"09/11/2022","6,739.10","6,894.20","7,015.20","6,736.30","4.85B","-2.25%"
"09/04/2022","6,894.20","6,828.70","6,898.50","6,719.60","3.72B","0.96%"
"08/28/2022","6,828.70","7,104.10","7,104.10","6,820.50","3.84B","-3.88%"
"08/21/2022","7,104.10","7,114.50","7,130.00","6,961.80","3.57B","-0.15%"
"08/14/2022","7,114.50","7,032.50","7,137.50","7,032.50","3.44B","1.17%"
"08/07/2022","7,032.50","7,015.60","7,077.10","6,985.70","3.57B","0.24%"
"07/31/2022","7,015.60","6,945.20","7,021.10","6,918.20","3.26B","1.01%"
"07/24/2022","6,945.20","6,791.50","6,973.60","6,775.70","3.48B","2.26%"
"07/17/2022","6,791.50","6,605.60","6,816.10","6,605.60","3.59B","2.81%"
"07/10/2022","6,605.60","6,678.00","6,678.00","6,537.20","3.21B","-1.08%"
"07/03/2022","6,678.00","6,539.90","6,715.00","6,539.90","3.15B","2.11%"
"06/26/2022","6,539.90","6,578.70","6,763.60","6,539.90","3.96B","-0.59%"
"06/19/2022","6,578.70","6,474.80","6,585.10","6,407.00","4.39B","1.60%"
"06/12/2022","6,474.80","6,932.00","6,932.00","6,410.40","4.90B","-6.60%"
"06/05/2022","6,932.00","7,238.80","7,238.80","6,926.90","3.38B","-4.24%"
"05/29/2022","7,238.80","7,182.70","7,288.40","7,150.50","4.16B","0.78%"
"05/22/2022","7,182.70","7,145.60","7,218.60","7,105.90","3.30B","0.52%"
"05/15/2022","7,145.60","7,075.10","7,199.00","7,037.60","3.34B","1.00%"
"05/08/2022","7,075.10","7,205.60","7,205.60","6,930.20","3.86B","-1.81%"
"05/01/2022","7,205.60","7,435.00","7,435.00","7,161.40","3.54B","-3.09%"
"04/24/2022","7,435.00","7,473.30","7,473.30","7,233.30","3.15B","-0.51%"
"04/17/2022","7,473.30","7,523.50","7,624.80","7,455.00","2.58B","-0.67%"
"04/10/2022","7,523.40","7,478.00","7,529.20","7,430.80","2.46B","0.61%"
"04/03/2022","7,478.00","7,493.80","7,573.40","7,437.50","3.18B","-0.21%"
"03/27/2022","7,493.80","7,406.20","7,556.60","7,406.20","3.41B","1.18%"
"03/20/2022","7,406.20","7,294.40","7,431.30","7,278.50","3.13B","1.53%"
"03/13/2022","7,294.40","7,063.60","7,296.80","7,063.60","4.49B","3.27%"
"03/06/2022","7,063.60","7,110.80","7,161.00","6,968.90","4.86B","-0.66%"
"02/27/2022","7,110.80","6,997.80","7,198.10","6,979.40","4.59B","1.61%"
"02/20/2022","6,997.80","7,220.40","7,248.80","6,959.30","4.36B","-3.10%"
"02/13/2022","7,221.70","7,217.30","7,356.80","7,181.70","3.89B","0.06%"
"02/06/2022","7,217.30","7,120.20","7,336.60","7,046.50","3.88B","1.36%"
"01/30/2022","7,120.20","6,988.10","7,120.20","6,932.70","3.55B","1.89%"
"01/23/2022","6,988.10","7,173.70","7,173.70","6,758.20","5.13B","-2.62%"
"01/16/2022","7,175.80","7,393.90","7,445.10","7,153.30","3.32B","-2.95%"
"01/09/2022","7,393.90","7,453.30","7,487.30","7,376.80","2.75B","-0.80%"
"01/02/2022","7,453.30","7,444.60","7,620.20","7,340.40","2.07B","0.12%"
"12/26/2021","7,444.60","7,420.30","7,520.60","7,420.30","1.07B","0.33%"
"12/19/2021","7,420.30","7,304.00","7,435.90","7,257.80","2.27B","1.59%"
"12/12/2021","7,304.00","7,353.50","7,417.70","7,277.10","3.56B","-0.67%"
"12/05/2021","7,353.50","7,241.20","7,443.40","7,207.80","3.07B","1.55%"
"11/28/2021","7,241.20","7,279.30","7,332.60","7,168.90","3.88B","-0.52%"
"11/21/2021","7,279.30","7,396.50","7,425.00","7,260.30","2.86B","-1.58%"
"11/14/2021","7,396.50","7,443.00","7,479.10","7,342.90","2.91B","-0.62%"
"11/07/2021","7,443.00","7,456.90","7,474.30","7,329.50","2.91B","-0.19%"
"10/31/2021","7,456.90","7,323.70","7,477.20","7,311.60","2.92B","1.82%"
"10/24/2021","7,323.70","7,415.50","7,473.90","7,318.80","2.85B","-1.24%"
"10/17/2021","7,415.50","7,362.00","7,449.50","7,354.10","3.28B","0.73%"
"10/10/2021","7,362.00","7,320.10","7,373.20","7,250.00","3.09B","0.57%"
"10/03/2021","7,320.10","7,185.50","7,322.00","7,183.50","3.28B","1.87%"
"09/26/2021","7,185.50","7,342.60","7,416.40","7,145.70","3.82B","-2.14%"
"09/19/2021","7,342.60","7,390.40","7,390.40","7,191.70","3.49B","-0.83%"
"09/12/2021","7,403.70","7,406.60","7,487.60","7,376.10","4.71B","-0.04%"
"09/05/2021","7,406.60","7,522.90","7,536.90","7,344.30","3.43B","-1.55%"
"08/29/2021","7,522.90","7,488.30","7,555.90","7,437.20","3.29B","0.46%"
"08/22/2021","7,488.30","7,460.90","7,542.40","7,460.90","3.55B","0.37%"
"08/15/2021","7,460.90","7,628.90","7,629.00","7,429.20","3.32B","-2.20%"
