"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","6.170","6.120","6.260","5.650","12.79M","1.82%"
"12/25/2022","6.060","6.300","6.360","5.950","6.12M","-4.11%"
"12/18/2022","6.320","6.240","6.710","6.240","15.76M","1.44%"
"12/11/2022","6.230","5.800","6.230","5.670","16.27M","8.35%"
"12/04/2022","5.750","5.670","5.900","5.310","18.82M","1.41%"
"11/27/2022","5.670","5.330","5.900","5.280","26.18M","7.18%"
"11/20/2022","5.290","4.990","5.490","4.850","19.28M","6.01%"
"11/13/2022","4.990","4.930","5.140","4.860","14.04M","0.20%"
"11/06/2022","4.980","5.540","5.550","4.860","20.58M","-7.43%"
"10/30/2022","5.380","5.360","5.450","4.850","20.54M","0.94%"
"10/23/2022","5.330","6.040","6.140","5.230","15.28M","-10.42%"
"10/16/2022","5.950","6.010","6.180","5.610","15.12M","-1.98%"
"10/09/2022","6.070","6.180","6.210","5.910","11.54M","-3.19%"
"10/02/2022","6.270","5.730","6.350","5.680","12.52M","10.58%"
"09/25/2022","5.670","5.940","6.000","5.285","15.34M","-7.50%"
"09/18/2022","6.130","6.000","6.480","5.940","15.60M","0.66%"
"09/11/2022","6.090","7.030","7.140","6.060","22.58M","-11.87%"
"09/04/2022","6.910","6.090","7.150","5.960","33.39M","7.80%"
"08/28/2022","6.410","5.710","6.450","5.680","18.44M","10.14%"
"08/21/2022","5.820","5.680","6.170","5.645","12.37M","2.28%"
"08/14/2022","5.690","5.250","5.920","5.130","12.17M","9.00%"
"08/07/2022","5.220","4.690","5.250","4.610","9.29M","10.83%"
"07/31/2022","4.710","4.990","5.075","4.690","6.75M","-5.80%"
"07/24/2022","5.000","5.620","5.930","4.850","97.79M","-11.50%"
"07/17/2022","5.650","5.920","6.140","5.480","2.96M","-1.57%"
"07/10/2022","5.740","5.130","5.850","5.100","2.10M","11.46%"
"07/03/2022","5.150","5.160","5.310","4.700","1.66M","0.78%"
"06/26/2022","5.110","5.220","5.560","5.110","1.40M","-1.35%"
"06/19/2022","5.180","5.170","5.450","4.880","3.10M","-1.52%"
"06/12/2022","5.260","5.480","5.660","5.235","2.35M","-7.72%"
"06/05/2022","5.700","5.480","6.230","5.390","4.69M","4.40%"
"05/29/2022","5.460","5.800","5.800","5.170","4.80M","-10.20%"
"05/22/2022","6.080","5.900","6.190","5.760","1.45M","2.70%"
"05/15/2022","5.920","5.700","5.930","5.380","2.39M","5.34%"
"05/08/2022","5.620","5.540","5.660","4.960","2.32M","1.63%"
"05/01/2022","5.530","5.390","5.690","5.130","2.42M","3.75%"
"04/24/2022","5.330","4.750","5.540","4.610","2.57M","11.27%"
"04/17/2022","4.790","5.630","5.720","4.760","3.09M","-12.43%"
"04/10/2022","5.470","4.830","5.490","4.770","2.86M","5.80%"
"04/03/2022","5.170","4.580","5.210","4.550","2.30M","12.88%"
"03/27/2022","4.580","4.810","4.870","4.440","961.61K","-3.58%"
"03/20/2022","4.750","4.290","4.820","4.210","1.51M","12.03%"
"03/13/2022","4.240","5.082","5.179","4.000","3.20M","-14.14%"
"03/06/2022","4.938","4.900","5.092","4.631","3.43M","5.33%"
"02/27/2022","4.689","3.363","4.717","3.276","4.64M","39.83%"
"02/20/2022","3.353","3.180","3.353","3.036","647.38K","4.49%"
"02/13/2022","3.209","3.065","3.257","3.007","851.84K","5.03%"
"02/06/2022","3.055","2.700","3.055","2.652","902.81K","13.17%"
"01/30/2022","2.700","2.652","2.825","2.575","482.91K","1.44%"
"01/23/2022","2.661","2.633","2.748","2.536","600.86K","-1.07%"
"01/16/2022","2.690","2.853","2.940","2.681","559.03K","-4.76%"
"01/09/2022","2.825","2.767","2.978","2.700","843.03K","1.38%"
"01/02/2022","2.786","2.556","2.844","2.556","698.92K","11.54%"
"12/26/2021","2.498","2.498","2.546","2.464","209.14K","-0.76%"
"12/19/2021","2.517","2.488","2.556","2.383","330.94K","3.15%"
"12/12/2021","2.440","2.373","2.508","2.287","420.46K","3.67%"
"12/05/2021","2.354","2.383","2.503","2.344","342.74K","-2.00%"
"11/28/2021","2.402","2.498","2.546","2.383","436.11K","-3.85%"
"11/21/2021","2.498","2.546","2.777","2.450","1.03M","-0.76%"
"11/14/2021","2.517","2.613","2.637","2.517","521.91K","-3.68%"
"11/07/2021","2.613","2.642","2.661","2.536","584.69K","-2.16%"
"10/31/2021","2.671","2.873","2.873","2.498","954.01K","-6.08%"
"10/24/2021","2.844","2.930","2.998","2.729","1.13M","-3.90%"
"10/17/2021","2.959","3.603","3.622","2.911","1.48M","-18.09%"
"10/10/2021","3.612","3.555","4.064","3.516","2.13M","3.87%"
"10/03/2021","3.478","2.998","3.843","2.998","2.80M","20.67%"
